25,25,,"25/04/2012","26/04/2012","04:34:50 PM","04:32:09 PM","N         ","TRUE","12:00:00 AM",5,29,10,29,1,,2,116000,0,"Y",,,,25,1,"MALAYSIA","GILGIT",,20000,"          ","CREDITCARD",,"          ",,"Y",,"N",0,,
26,26,,"25/04/2012","28/04/2012","07:37:11 PM","07:34:14 PM","N         ","TRUE","12:00:00 AM",2,8,2,8,1,,2,13920,0,"Y",,,,26,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
27,27,,"25/04/2012","30/04/2012","07:40:44 PM","07:38:26 PM","N         ","TRUE","12:00:00 AM",2,17,4,17,1,,2,6000,0,"Y",,,,27,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
28,28,,"25/04/2012","30/04/2012","07:42:15 PM","07:40:58 PM","N         ","TRUE","12:00:00 AM",3,17,4,17,1,,2,20880,0,"Y",,,,28,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
29,29,,"25/04/2012","28/04/2012","07:43:46 PM","07:42:54 PM","N         ","TRUE","12:00:00 AM",5,39,6,39,1,,2,34800,0,"Y",,,,29,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
30,30,,"25/04/2012","29/04/2012","07:45:39 PM","07:42:54 PM","N         ","TRUE","12:00:00 AM",3,17,4,17,1,,2,20880,0,"Y",,,,30,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
31,31,,"25/04/2012","30/04/2012","07:49:12 PM","07:48:29 PM","N         ","TRUE","12:00:00 AM",5,39,6,39,1,,2,6000,0,"Y",,,,31,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
32,32,,"25/04/2012","30/04/2012","07:50:34 PM","07:48:29 PM","N         ","TRUE","12:00:00 AM",7,39,6,39,1,,2,6000,0,"Y",,,,32,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
33,33,,"25/04/2012","26/04/2012","08:00:09 PM","07:59:38 PM","N         ","TRUE","12:00:00 AM",5,17,4,17,1,,2,15000,0,"Y",,,,33,1,,,,15000,"Y      ","          ",,"          ",,"Y",,"N",0,,
34,34,,"25/04/2012","26/04/2012","11:43:44 PM","11:41:34 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,6000,6000,"Y",,,,34,1,,,,5172,"Y      ","          ",,"          ",,"Y",,"N",0,,
35,35,,"26/04/2012","27/04/2012","02:07:47 PM","02:07:40 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,8120,8120,"Y",,,,35,1,,,,7000,"          ","CREDITCARD",,"          ",,"Y",,"N",0,,
36,36,,"26/04/2012","26/04/2012","05:06:00 PM","05:02:35 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,6960,10000,"Y",,,,36,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
37,37,,"26/04/2012","27/04/2012","05:17:24 PM","05:13:54 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,6960,10000,"Y",,,,37,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
38,38,,"27/04/2012","30/04/2012","03:19:46 PM","03:16:24 PM","N         ","TRUE","12:00:00 AM",3,17,4,17,1,,2,34800,30000,"Y",,,,38,1,"LAHORE",,,10000,"Y      ","          ",,"          ",,"Y",,"N",0,,
39,39,,"27/04/2012","06/05/12","05:41:44 PM","05:41:32 PM","N         ","TRUE","12:00:00 AM",2,29,10,29,1,,2,12000,0,"Y",,,,39,1,"LAHORE",,,6000,"Y      ","          ",,"          ",,"N",,"N",0,,
40,40,,"27/04/2012","30/04/2012","03:35:21 PM","03:32:35 PM","N         ","TRUE","12:00:00 AM",5,17,4,17,1,,2,46400,50000,"Y",,,,40,1,"RAWALPINDI","MURREE",,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
